63840,2605,6.680
63860,2617,6.504
63880,2629,6.680
63900,2642,6.680
63920,2655,6.680
63940,2668,6.680
63960,2681,6.504
63980,2695,6.504
64000,2710,6.504
64020,2724,6.680
64040,2738,6.504
64060,2752,6.504
64080,2766,6.504
64100,2779,6.504
64120,2792,6.328
64140,2805,6.328
64160,2817,6.328
64180,2829,6.328
64200,2840,6.328
64220,2851,6.328
64240,2862,6.328
64260,2872,6.152
64280,2882,6.328
64300,2892,6.328
64320,2901,6.328
64340,2910,6.328
64360,2918,6.328
64380,2926,6.328
64400,2934,6.328
64420,2941,6.328
64440,2948,6.328
64460,2955,6.328
64480,2961,6.328
64500,2967,6.328
64520,2972,6.328
64540,2977,6.328
64560,2982,6.328
64580,2986,6.328
64600,2990,6.328
64620,2993,6.328
64640,2996,6.328
64660,2999,6.328
64680,3001,6.504
64700,3003,6.504
64720,3005,6.328
New target: -855 steps (-96.19 deg)
64740,3006,6.328
64760,3006,6.328
64780,3005,6.328
64800,3004,6.328
64820,3002,6.328
64840,3000,6.328
64860,2997,6.152
64880,2994,6.328
64900,2991,6.152
64920,2987,6.152
64940,2983,6.152
64960,2979,6.152
64980,2974,6.152
65000,2968,6.328
65020,2963,6.152
65040,2957,6.152
65060,2950,6.328
65080,2944,6.328
65100,2937,6.328
65120,2929,6.328
65140,2921,6.328
65160,2913,6.328
65180,2905,6.328
65200,2896,6.328
65220,2887,6.152
65240,2877,6.152
65260,2867,6.152
65280,2857,6.328
65300,2846,6.152
65320,2835,6.152
65340,2823,6.328
65360,2811,6.152
65380,2799,6.328
65400,2786,6.328
65420,2773,6.152
65440,2759,6.328
65460,2745,6.152
65480,2731,6.152
65500,2716,6.152
65520,2701,6.152
65540,2686,6.152
65560,2670,6.328
65580,2654,6.328
65600,2638,6.152
65620,2621,6.328
65640,2604,6.328
65660,2587,6.328
65680,2569,6.328
65700,2552,6.328
65720,2535,6.328
65740,2518,6.504
65760,2502,6.504
65780,2486,6.504
65800,2470,6.504
65820,2456,6.680
65840,2441,6.504
65860,2426,6.504
65880,2412,6.504
65900,2398,6.680
65920,2384,6.680
65940,2371,6.504
65960,2358,6.504
65980,2346,6.680
66000,2334,6.504
66020,2322,6.504
66040,2311,6.504
66060,2300,6.504
66080,2290,6.504
66100,2280,6.504
66120,2270,6.328
66140,2261,6.328
66160,2252,6.328
66180,2244,6.504
66200,2236,6.504
66220,2228,6.680
66240,2220,6.680
66260,2213,6.680
66280,2206,6.855
66300,2200,6.855
66320,2194,6.855
66340,2188,6.680
66360,2183,6.680
66380,2178,6.680
66400,2174,6.504
66420,2170,6.504
66440,2166,6.504
66460,2163,6.504
66480,2160,6.504
66500,2158,6.328
66520,2156,6.504
66540,2154,6.504
66560,2153,6.504
66580,2152,6.504
New target: -511 steps (-57.49 deg)
66600,2151,6.328
66620,2151,6.328
66640,2150,6.504
66660,2148,6.504
66680,2147,6.504
66700,2145,6.504
66720,2142,6.328
66740,2139,6.328
66760,2136,6.152
66780,2132,6.152
66800,2128,6.152
66820,2123,6.152
66840,2119,6.152
66860,2113,6.152
66880,2108,6.152
66900,2102,5.977
66920,2095,6.152
66940,2089,6.152
66960,2082,6.328
66980,2074,6.328
67000,2066,6.328
67020,2058,6.328
67040,2050,6.328
67060,2041,6.328
67080,2032,6.328
67100,2022,6.328
67120,2012,6.152
67140,2001,6.328
67160,1990,6.152
67180,1979,6.152
67200,1968,6.328
67220,1956,6.152
67240,1944,6.328
67260,1932,6.152
67280,1919,6.328
67300,1905,6.328
67320,1891,6.152
67340,1877,6.152
67360,1864,6.328
67380,1851,6.328
67400,1839,6.504
67420,1827,6.328
67440,1815,6.504
67460,1804,6.504
67480,1793,6.680
67500,1783,6.504
67520,1773,6.680
67540,1763,6.680
67560,1754,6.680
67580,1745,6.680
67600,1736,6.680
67620,1728,6.680
67640,1720,6.680
67660,1712,6.504
67680,1705,6.504
67700,1698,6.504
67720,1692,6.504
67740,1686,6.504
67760,1680,6.504
67780,1675,6.504
67800,1670,6.504
67820,1665,6.504
67840,1661,6.504
67860,1657,6.680
67880,1654,6.504
67900,1651,6.504
67920,1648,6.504
67940,1646,6.504
67960,1644,6.504
67980,1642,6.504
68000,1641,6.504
68020,1641,6.504
New target: 637 steps (71.66 deg)
68040,1640,6.504
68060,1641,6.504
68080,1642,6.504
68100,1643,6.504
68120,1645,6.504
68140,1648,6.504
68160,1650,6.504
68180,1653,6.504
68200,1657,6.504
68220,1661,6.680
68240,1665,6.680
68260,1670,6.855
68280,1675,6.855
68300,1680,6.855
68320,1686,6.680
68340,1692,6.680
68360,1699,6.680
68380,1706,6.680
68400,1713,6.680
68420,1721,6.680
68440,1729,6.680
68460,1738,6.680
68480,1747,6.680
68500,1756,6.680
68520,1765,6.680
68540,1775,6.680
68560,1785,6.680
68580,1796,6.680
68600,1807,6.504
68620,1819,6.504
68640,1831,6.504
68660,1843,6.504
68680,1856,6.328
68700,1869,6.504
68720,1882,6.504
68740,1896,6.504
68760,1910,6.504
68780,1924,6.680
68800,1939,6.680
68820,1954,6.680
68840,1969,6.680
68860,1984,6.680
68880,1999,6.680
68900,2013,6.680
68920,2027,6.680
68940,2041,6.504
68960,2054,6.504
68980,2066,6.328
69000,2078,6.152
69020,2090,6.152
69040,2102,6.152
69060,2113,6.152
69080,2124,6.328
69100,2134,6.152
69120,2144,6.152
69140,2154,6.328
69160,2163,6.328
69180,2172,6.328
69200,2181,6.328
69220,2189,6.328
69240,2197,6.328
69260,2205,6.328
69280,2212,6.504
69300,2219,6.504
69320,2226,6.504
69340,2232,6.328
69360,2238,6.328
69380,2243,6.504
69400,2248,6.328
69420,2253,6.328
69440,2257,6.328
69460,2260,6.504
69480,2264,6.328
69500,2267,6.504
69520,2269,6.504
69540,2271,6.328
69560,2273,6.504
69580,2275,6.504
69600,2276,6.504
69620,2276,6.504
New target: -466 steps (-52.42 deg)
69640,2277,6.328
69660,2276,6.328
69680,2275,6.328
69700,2274,6.328
69720,2272,6.328
69740,2269,6.152
69760,2267,6.328
69780,2264,6.328
69800,2260,6.152
69820,2256,6.328
69840,2252,6.328
69860,2247,6.504
69880,2242,6.504
69900,2237,6.504
69920,2231,6.504
69940,2225,6.504
69960,2218,6.504
69980,2211,6.504
70000,2204,6.328
70020,2196,6.328
70040,2188,6.328
70060,2179,6.152
70080,2170,6.152
70100,2161,6.328
70120,2151,6.328
70140,2141,6.328
70160,2130,6.328
70180,2119,6.328
70200,2108,6.328
70220,2096,6.504
70240,2084,6.328
70260,2072,6.504
70280,2059,6.328
70300,2046,6.328
70320,2033,6.328
70340,2020,6.328
70360,2007,6.328
70380,1995,6.328
70400,1983,6.504
70420,1972,6.328
70440,1961,6.504
70460,1950,6.504
70480,1940,6.504
70500,1930,6.680
70520,1921,6.680
70540,1912,6.680
70560,1903,6.680
70580,1895,6.680
70600,1887,6.680
70620,1879,6.680
70640,1872,6.680
70660,1865,6.680
70680,1859,6.680
70700,1853,6.504
70720,1847,6.504
70740,1842,6.504
70760,1837,6.504
70780,1833,6.680
70800,1829,6.504
70820,1825,6.680
70840,1822,6.504
70860,1819,6.504
70880,1817,6.680
70900,1815,6.504
70920,1813,6.504
70940,1812,6.680
New target: 979 steps (110.14 deg)
70960,1811,6.680
70980,1812,6.680
71000,1813,6.680
71020,1814,6.680
71040,1816,6.680
71060,1819,6.680
71080,1821,6.680
71100,1824,6.680
71120,1828,6.680
71140,1832,6.504
71160,1836,6.680
71180,1841,6.680
71200,1846,6.680
71220,1851,6.680
71240,1857,6.680
71260,1863,6.680
71280,1870,6.680
71300,1877,6.680
71320,1884,6.680
71340,1892,6.680
71360,1900,6.680
71380,1909,6.680
71400,1918,6.680
71420,1927,6.680
71440,1937,6.680
71460,1947,6.680
71480,1957,6.680
71500,1968,6.680
71520,1980,6.680
71540,1991,6.680
71560,2003,6.680
71580,2015,6.504
71600,2028,6.680
71620,2041,6.680
71640,2054,6.680
71660,2068,6.680
71680,2082,6.680
71700,2097,6.504
71720,2112,6.680
71740,2128,6.680
71760,2144,6.680
71780,2160,6.680
71800,2176,6.680
71820,2193,6.504
71840,2210,6.680
71860,2228,6.680
71880,2246,6.680
71900,2264,6.680
71920,2283,6.680
71940,2302,6.680
71960,2321,6.680
71980,2340,6.680
72000,2358,6.680
72020,2376,6.504
72040,2394,6.504
72060,2411,6.504
72080,2428,6.504
72100,2444,6.328
72120,2460,6.328
72140,2476,6.328
72160,2491,6.328
72180,2506,6.328
72200,2521,6.152
72220,2535,6.328
72240,2549,6.328
72260,2562,6.328
72280,2575,6.328
72300,2588,6.328
72320,2600,6.328
72340,2612,6.504
72360,2624,6.328
72380,2635,6.504
72400,2646,6.504
72420,2656,6.328
72440,2666,6.504
72460,2676,6.504
72480,2685,6.328
72500,2694,6.328
72520,2702,6.328
72540,2710,6.328
72560,2718,6.328
72580,2725,6.328
72600,2732,6.328
72620,2739,6.504
72640,2745,6.504
72660,2751,6.328
72680,2756,6.504
72700,2761,6.328
72720,2766,6.504
72740,2770,6.504
72760,2773,6.328
72780,2777,6.328
72800,2780,6.504
72820,2782,6.328
72840,2784,6.504
72860,2786,6.504
72880,2788,6.504
72900,2789,6.328
72920,2789,6.328
New target: 857 steps (96.41 deg)
72940,2790,6.328
72960,2791,6.328
72980,2792,6.504
73000,2793,6.680
73020,2795,6.680
73040,2798,6.680
73060,2800,6.680
73080,2803,6.680
73100,2807,6.680
73120,2811,6.855
73140,2815,6.680
73160,2820,6.855
73180,2825,6.680
73200,2830,6.680
73220,2836,6.680
73240,2842,6.680
73260,2849,6.680
73280,2856,6.680
73300,2863,6.680
73320,2871,6.680
73340,2879,6.680
73360,2888,6.680
73380,2897,6.680
73400,2906,6.680
73420,2916,6.680
73440,2926,6.680
73460,2936,6.680
73480,2947,6.680
73500,2958,6.680
73520,2970,6.680
73540,2982,6.680
73560,2994,6.680
73580,3007,6.680
73600,3020,6.680
73620,3034,6.680
73640,3048,6.680
73660,3062,6.680
73680,3077,6.680
73700,3091,6.680
73720,3107,6.680
73740,3122,6.680
73760,3138,6.680
73780,3154,6.680
73800,3171,6.680
73820,3188,6.680
73840,3206,6.680
73860,3224,6.680
73880,3242,6.680
73900,3259,6.680
73920,3276,6.680
73940,3293,6.504
73960,3309,6.504
73980,3325,6.504
74000,3340,6.504
74020,3355,6.328
74040,3370,6.328
74060,3384,6.328
74080,3398,6.328
74100,3411,6.328
74120,3424,6.328
74140,3437,6.328
74160,3450,6.328
74180,3462,6.504
74200,3474,6.504
74220,3485,6.504
74240,3496,6.328
74260,3507,6.504
74280,3517,6.504
74300,3527,6.328
74320,3536,6.328
74340,3545,6.328
74360,3554,6.328
74380,3562,6.504
74400,3570,6.328
74420,3578,6.328
74440,3585,6.504
74460,3592,6.328
74480,3598,6.504
74500,3604,6.504
74520,3610,6.504
74540,3615,6.328
74560,3620,6.504
74580,3624,6.504
74600,3628,6.504
74620,3632,6.328
74640,3635,6.504
74660,3638,6.328
74680,3640,6.328
74700,3642,6.504
74720,3644,6.504
74740,3645,6.328
74760,3646,6.328
New target: 837 steps (94.16 deg)
74780,3647,6.328
74800,3647,6.328
74820,3648,6.504
74840,3650,6.680
74860,3651,6.680
74880,3654,6.680
74900,3656,6.680
74920,3659,6.680
74940,3663,6.680
74960,3666,6.855
74980,3670,6.680
75000,3675,6.855
75020,3680,6.680
75040,3685,6.680
75060,3691,6.680
75080,3697,6.680
75100,3704,6.680
75120,3711,6.680
75140,3718,6.680
75160,3726,6.680
75180,3734,6.680
75200,3742,6.680
75220,3751,6.680
75240,3760,6.680
75260,3770,6.680
75280,3780,6.680
75300,3790,6.680
75320,3801,6.680
75340,3812,6.680
75360,3824,6.680
75380,3836,6.680
75400,3848,6.680
75420,3861,6.680
75440,3874,6.680
75460,3888,6.680
75480,3902,6.680
75500,3916,6.680
75520,3930,6.680
75540,3945,6.680
75560,3960,6.680
75580,3975,6.680
75600,3991,6.680
75620,4007,6.680
75640,4024,6.680
75660,4041,6.680
75680,4059,6.680
75700,4077,6.680
75720,4094,6.680
75740,4111,6.680
75760,4128,6.504
75780,4144,6.504
75800,4160,6.504
75820,4175,6.504
75840,4190,6.504
75860,4205,6.328
75880,4220,6.328
75900,4234,6.328
75920,4248,6.328
75940,4261,6.328
75960,4274,6.328
75980,4287,6.328
76000,4299,6.504
76020,4311,6.328
76040,4322,6.504
76060,4333,6.504
76080,4344,6.504
76100,4354,6.504
76120,4364,6.504
76140,4373,6.504
76160,4382,6.328
76180,4391,6.328
76200,4399,6.328
76220,4407,6.328
76240,4415,6.328
76260,4422,6.328
76280,4429,6.504
76300,4435,6.504
76320,4441,6.504
76340,4447,6.504
76360,4452,6.504
76380,4457,6.504
76400,4461,6.504
76420,4465,6.504
76440,4469,6.504
76460,4472,6.504
76480,4475,6.504
76500,4477,6.328
76520,4479,6.328
76540,4481,6.504
76560,4482,6.504
76580,4483,6.504
New target: -929 steps (-104.51 deg)
76600,4484,6.504
76620,4484,6.504
76640,4483,6.504
76660,4481,6.504
76680,4480,6.328
76700,4477,6.328
76720,4475,6.328
76740,4472,6.328
76760,4469,6.328
76780,4465,6.328
76800,4461,6.328
76820,4456,6.328
76840,4451,6.328
76860,4446,6.328
76880,4440,6.328
76900,4434,6.328
76920,4427,6.328
76940,4420,6.328
76960,4413,6.328
76980,4405,6.328
77000,4397,6.328
77020,4389,6.328
77040,4380,6.328
77060,4371,6.328
77080,4361,6.328
77100,4351,6.328
77120,4341,6.328
77140,4330,6.328
77160,4319,6.328
77180,4308,6.328
77200,4296,6.504
77220,4284,6.328
77240,4271,6.328
77260,4258,6.328
77280,4245,6.328
77300,4231,6.328
77320,4217,6.328
77340,4202,6.328
77360,4187,6.328
77380,4172,6.328
77400,4156,6.328
77420,4140,6.328
77440,4123,6.328
77460,4106,6.328
77480,4089,6.328
77500,4071,6.328
77520,4053,6.328
77540,4034,6.328
77560,4015,6.328
77580,3997,6.328
77600,3979,6.328
77620,3961,6.504
77640,3943,6.504
77660,3926,6.504
77680,3909,6.680
77700,3893,6.680
77720,3877,6.680
77740,3861,6.680
77760,3846,6.680
77780,3831,6.680
77800,3816,6.680
77820,3802,6.680
77840,3788,6.504
77860,3775,6.680
77880,3762,6.504
77900,3750,6.504
77920,3738,6.504
77940,3726,6.504
77960,3715,6.504
77980,3704,6.680
78000,3694,6.680
78020,3684,6.680
78040,3674,6.680
78060,3665,6.855
78080,3656,6.855
78100,3647,6.680
78120,3639,6.680
78140,3631,6.680
78160,3623,6.504
78180,3616,6.504
78200,3610,6.504
78220,3603,6.504
78240,3597,6.504
78260,3592,6.680
78280,3587,6.680
78300,3582,6.680
78320,3578,6.680
78340,3574,6.680
78360,3570,6.680
78380,3567,6.504
78400,3564,6.680
78420,3562,6.680
78440,3560,6.504
78460,3558,6.504
78480,3557,6.504
78500,3556,6.504
New target: 416 steps (46.80 deg)
78520,3555,6.504
78540,3555,6.504
78560,3556,6.504
78580,3558,6.504
78600,3559,6.504
78620,3562,6.680
78640,3564,6.680
78660,3567,6.680
78680,3571,6.680
78700,3574,6.680
78720,3578,6.855
78740,3583,6.680
78760,3588,6.680
78780,3593,6.680
78800,3599,6.680
78820,3605,6.680
78840,3612,6.680
78860,3619,6.680
78880,3626,6.680
78900,3634,6.680
78920,3642,6.680
78940,3650,6.680
78960,3659,6.680
78980,3668,6.680
79000,3678,6.680
79020,3688,6.680
79040,3698,6.680
79060,3709,6.680
79080,3720,6.680
79100,3732,6.680
79120,3744,6.680
79140,3756,6.680
79160,3769,6.504
79180,3781,6.680
79200,3793,6.504
79220,3805,6.504
79240,3816,6.504
79260,3827,6.504
79280,3837,6.504
79300,3847,6.328
79320,3857,6.328
79340,3866,6.328
79360,3875,6.504
79380,3884,6.504
79400,3892,6.504
79420,3899,6.504
79440,3906,6.504
79460,3913,6.504
79480,3920,6.504
79500,3926,6.504
79520,3932,6.504
79540,3937,6.504
79560,3942,6.504
79580,3947,6.504
79600,3951,6.504
79620,3955,6.504
79640,3958,6.504
79660,3961,6.504
79680,3964,6.504
79700,3966,6.328
79720,3968,6.504
79740,3970,6.504
New target: 15 steps (1.69 deg)
79760,3971,6.504
79780,3971,6.504
79800,3972,6.504
79820,3974,6.504
79840,3975,6.504
79860,3977,6.680
79880,3980,6.680
79900,3982,6.680
79920,3983,6.680
79940,3984,6.680
79960,3985,6.680
New target: -530 steps (-59.63 deg)
79980,3986,6.680
80000,3986,6.504
80020,3985,6.504
80040,3983,6.328
80060,3981,6.328
80080,3979,6.328
80100,3976,6.504
80120,3973,6.328
80140,3970,6.328
80160,3966,6.328
80180,3962,6.328
80200,3957,6.328
80220,3952,6.504
80240,3947,6.328
80260,3941,6.328
80280,3935,6.328
80300,3928,6.504
80320,3921,6.328
80340,3914,6.328
80360,3906,6.328
80380,3898,6.328
80400,3889,6.328
80420,3881,6.504
